"Fap3","part_femmes_a","part_defm_1an_ou_plus"
"Ensemble",48.54,42.12
"A0Z",28.74,40.23
"A1Z",20.55,51.8
"A2Z",47.12,30.16
"A3Z",14.49,37.01
"B0Z",0.5,38.9
"B1Z",0.56,47.05
"B2Z",0.77,41.51
"B3Z",3.31,36.06
"B4Z",2.36,41.47
"B5Z",1.05,46.07
"B6Z",12.55,40.79
"B7Z",29.33,30.14
"C0Z",39.22,50.63
"C1Z",25.08,51.49
"C2Z",10.86,43.59
"D0Z",12.63,44.2
"D1Z",9.17,45.9
"D2Z",1.92,43.97
"D3Z",12.53,41.69
"D4Z",17.96,51.01
"D6Z",6.71,36.52
"E0Z",50.91,51.1
"E1Z",35.66,47.47
"E2Z",37.38,37.45
"F0Z",80.86,48.38
"F1Z",75.59,49.76
"F2Z",23.76,45.54
"F3Z",26.72,45.89
"F4Z",34.92,51.08
"F5Z",56.56,46.39
"G0A",12.33,52.02
"G0B",1.73,35.15
"G1Z",3.94,35.18
"H0Z",28.56,33.02
"J0Z",14.57,41.23
"J1Z",12.79,47.42
"J3Z",9.24,42.56
"J4Z",27.13,41.33
"J5Z",62.4,38.58
"J6Z",21.95,32.62
"K0Z",62.95,46.49
"L0Z",92.71,45.57
"L1Z",71.15,42.44
"L2Z",81.66,49.52
"L3Z",88.19,39.96
"L4Z",74.65,37.28
"L5Z",58.39,33.82
"L6Z",25.04,45.4
"M0Z",14.29,29.99
"M1Z",8.14,44.08
"M2Z",21.11,31.78
"N0Z",40.46,28.9
"P0Z",57.21,42.15
"P1Z",43.61,43.06
"P2Z",64.98,35.89
"P3Z",77.48,34
"P4Z",21.82,29.12
"Q0Z",68.48,38.28
"Q1Z",53.08,35.85
"Q2Z",36,38.14
"R0Z",66.92,39.98
"R1Z",70.38,39.25
"R2Z",30.84,38.27
"R3Z",46.64,40.44
"R4Z",46.67,35.94
"S0Z",20.97,32.12
"S1Z",43.51,38.67
"S2Z",56.54,34.26
"S3Z",36.69,37.69
"T0Z",88.89,32.81
"T1Z",96.67,49.79
"T2A",93.93,43.8
"T2B",98.91,51.12
"T3Z",15.15,49.19
"T4Z",69.64,49.84
"T6Z",67.39,43.15
"U0Z",66.52,37.84
"U1Z",40.35,57.44
"V0Z",88.86,35.6
"V1Z",87.09,30.75
"V2Z",71.43,37.12
"V3Z",76.61,35.09
"V4Z",70.08,41.03
"V5Z",63.13,43.16
"W0Z",63.01,41.64
"W1Z",51.97,49.07
"ZZZ",49.19,16.77
